date,session,word,meaning,synonym_1,synonym_2,sentence_1,sentence_2
21-04-2021,1,necromancy,(n) black magic; talking to deceased,sorcery,witchcraft,When Muskan died Utkarsh went to the psychic who claimed she can do necromancy,-
21-04-2021,1,froward,(adj) stubbornly disobedient,obstinate,-,The teacher had to send the froward kid to the Principal Office,-
21-04-2021,1,desiccate,(v) dry completely,dried,dehydrated,The dry winds of the desert have completely desiccated the animal bodies,-
21-04-2021,1,atavism,(n) the tendency to revert back to ancient or ancestral,reverting,turnabout,The modern politicians regard nationalism as tribal atavism,-
21-04-2021,1,castigation,(n) punishment; criticism,chastisement,-,Most British writers loathe the castigation from their schools,-
21-04-2021,1,ameliorate,(v) to improve,enhance,-,"Knowing COVID could not be contained, authorities tried to ameliorate its effects",-
21-04-2021,1,confound,(v) cause surprise or confusion; mix up,baffle,perplex,The inflation confounded the economic analysts,-
21-04-2021,1,errant,(adj) mistaken; straying from the proper path or standards,culpable,delinquent,The errant bowl of the bowler hit the head of the batsman,-
21-04-2021,1,avarice,(n) greed,cupidity,rapacity,He was rich beyond the dreams of avarice,-
21-04-2021,1,flora,(n) plants of a region or era,vegetation,-,Indian forests have a great flora,-
21-04-2021,1,consecrate,(v) declare sacred,sanctify,hallow,The Holy Trinity Church was consecrated in 1845,-
21-04-2021,1,deference,(n) respect; honor,regard,esteem,The proposal to pass Farm bills was turned down in deference to the objections of the farmers,-
21-04-2021,1,churlish,(adj) rude,discourteous,ungracious,The Knight cannot be churlish to the noble ladies,-
21-04-2021,1,ascetic,(adj) severe self discipline typically for religious reasons,austere,abstinent,The Muslim Sufi Saint lived a ascetic lifestyle,-
21-04-2021,1,preternatural,(adj) beyond normal or natural,supernatural,-,Autumn came with preternatural speed,-
21-04-2021,1,desuetude,(n) state of disuse,idleness,-,"After the storm, the sails of the ship were left in desuetude",-
21-04-2021,1,allay,(v) to reduce; diminish,assuage,alleviate,The stale burger allayed my hunger,-
21-04-2021,1,interregnum,(n) the interval between two office periods or continuous events,-,-,The interregnum between the discovery of radioactivity and its detailed study was long,-
21-04-2021,1,repine,(v) complain,fret,-,The coach asked the team not to repine on the lost opportunity,-
21-04-2021,1,emaciated,(adj) very weak and thin,skeletal,wasted,The prisoner was emaciated after getting only bread for three months,-
21-04-2021,2,ephemeral,(adj) short lived,fleeting,momentary,Fashions are ephimeral; the new ones come and the old ones go out,-
21-04-2021,2,antiquity,(n) ancient times; the quality of being ancient,hoariness,-,The town dates back to antiquity,The castle is of great antiquity
21-04-2021,2,adage,(n) a proverb expressing a general truth,aphorism,axiom,Tit for tat is an old adage,-
21-04-2021,2,cynical,(adj) believeing that people are motivated only by self interest; concerned only with the interests of oneself,-,-,He was brutally cynical and did not pay attention to the tears presented to him,-
21-04-2021,2,posit,(v) put forward as fact; put in position,postulate,propound,The Darwin Theory posits the need of evolution,The professor posited Maggie in the best poet categpry
21-04-2021,2,contention,(n) heated disagreement,dispute,discord,The captured territory became the reason of contention between India and Pakistan,-
21-04-2021,2,sedition,(n) behaviour that encourage rebellion,agitation,-,Prosecutor argued that the article published was an act of sedition as it was anti-government,-
21-04-2021,2,defunct,(adj) no longer existing or functioning,inoperative,-,The British Railway line is now in a defunct state and hence is shut down,-
21-04-2021,2,sedulous,(adj) showing dedication,diligent,meticulous,The watchman did his duty with sedulous care and hence prevented the robbery,-
21-04-2021,2,buttress,(v) to reinforce; to support,fortify,-,The suicide of students buttress the case of mental harassment by the school,-
21-04-2021,2,supersede,"(v) to replace, especially to displace an inferior or outdated",supplant,-,The old Ambassador Cars are superseded by new Ford Cars,-
21-04-2021,2,alleviate,(v) to ease; make less severe; improve partially,diminish,-,The new government policies were effective in increasing overall wealth but was unsuccessful in alleviating poverty,-
21-04-2021,2,flout,(v) openly disregard; mock,scorn,-,The army men have to face dangers if they flout the security protocols,-
21-04-2021,2,dismiss,(v) put away from consideration; reject,discharge,-,She dismissed the taxi and walked back home,-
21-04-2021,2,flux,(n) the process of flowing out,transfer,-,In some cultures time is considered as a flux moving in one direction,-
21-04-2021,2,qualm,"(n) an uneasy feeling of fear, worry and doubt",misgiving,-,The judge had no qualms about sending the thief to the prison,-
21-04-2021,2,stipulate,(v) to demand or specify (a requirement),set-down,-,Utkarsh stipulated certain conditions before his marriage,-
21-04-2021,2,recalcitrant,(adj) resisting authority or control,uncooperative,-,The officer had no choice but to court martial the recalcitrant soilder,-
21-04-2021,2,remonstrate,(v) to object or protest,expostulate,-,Minority committee members remostrated against the majority committee members against the bill,-
21-04-2021,2,gullible,(adj) easily persuaded to believe something; easily deceived,credulous,-,Gullible audience believed that the magic was real,-
22-04-2021,1,prodigal,(adj) spending money or using resources freely and recklessly,extravagant,spendthrift,Utkarsh warned his wife to stop her prodigal spending on makeup or they will go bankrupt,-
22-04-2021,1,adultrate,(v) to corrupt or to make impure,degrade,-,The milk tastes bad as it was adultrated with water,-
22-04-2021,1,idolatry,(n) idol worship,-,-,Idolatry was considered obstinate in British Era and hence the idols were busted,-
22-04-2021,1,contumacious,(adj) disobedient; rebellious,-,-,British tried to suppress the revolt of 1857 by capturing the cantumacious leaders,-
22-04-2021,1,distend,(v) to expand; swell,bloat,bulge,Kids affected with Kwashiorkor have distended bellies,-
22-04-2021,1,disparage,(v) to belittle; to represent as being of little worth,denigrate,-,Philosophy is the understanding of human mind and soul but is often desparaged with mind games,-
22-04-2021,1,causal,(adj) involving a cause,-,-,Plato considered there is a causal relationship between income inequality and political discontent,-
22-04-2021,1,cognizant,(adj) having knowledge or awareness,conscious,-,State government must be cognizant about the fact that it cannot make bills against the Center,-
22-04-2021,1,amenable,(adj) agreeable; open and responsive to suggestion,compliant,acquiescent,The young writer was amenable to suggestions from the club to improve his writing style,-
22-04-2021,1,reticent,(adj) not revealing his or her thoughts freely,reserved,introverted,Since Utkarsh was extremely reticent about his affair with his secretary the doubts of his wife increased,-
22-04-2021,1,aver,(adj) to affirm; declare to be true,assert,claim,He avered that he was innocent against all the allegations,-
22-04-2021,1,conundrum,(n) a confusing or difficult problem,quandry,-,The paradoxical story of I killed my grandfather presents us with a conundrum,-
22-04-2021,1,partisan,(n) committed to a party; one-sided; prejudiced,adherent,-,Public is extremely partison against the new government and hence is disliking every new policy,-
22-04-2021,1,amalgamate,(v) to combine into unified whole,integrate,-,Three states were amalgamated to form the new one,-
22-04-2021,1,frugality,(n) quality of being economical with money and food,thriftiness,-,"In these days of credit card, frugality is not practiced any more",-
22-04-2021,1,impute,"(v) represent (something, especially something undesirable) as being done or possessed by someone",attribute,ascribe,Primatologists generally impute relatively high intelligence of chimpanzees based on their ability to recognize themselves in a mirror,-
22-04-2021,1,desultory,(adj) random; lack of plan; disconnected,rambling,-,Jury had difficulty following the desultory testimony of the witness,-
22-04-2021,1,reprise,"(n) repitition, especially a piece of music",-,-,The standing ovation compelled the band to reprise their title song,-
22-04-2021,1,pellucid,(adj) translucently clear; easily understood,translucent,-,George Orwell had an amazingly pellucid style of writing which made him the bestselling author,-
22-04-2021,1,abeyance,(n) temporary suspension,-,-,A good judge must hold his judgement in abeyance until all facts have been presented,-
22-04-2021,2,affluence,(n) state of having great deal of money; wealth,prosperity,opulence,When they won the lottery their sudden affluence caused old friends to feel envy,-
22-04-2021,2,impetus,(n) force or energy with which a body moves,momentum,propulsion,Hit the booster before the flywheels lose all their impetus,-
22-04-2021,2,coerce,(v) persuade to do something by force or threats,pressurize,-,He was coerced to give evidence against his wife,-
22-04-2021,2,atrocious,(adj) horrifyingly wicked,barbaric,brutal,Child marriage is an attrocious act against the innocent children,-
22-04-2021,2,partake,(v) to eat or drink; join in,consume,-,After a hard day he partook his well deserved drink,Visitors can also partake in the Golf Tournament
22-04-2021,2,delineated,(v) to represent or depict,portray,-,Principal of Uncertainity was delineated by Hiesenberg,-
22-04-2021,2,behemoth,(n) huge creature,colossal,gigantic,The private sector is becoming commercial behemoth and outperforming the public sector,-
22-04-2021,2,caustic,(adj) sarcastic in a bitter way; burning,biting ,mordant,The caustic comments of the journalist on the government did not leave with him any friends among government officials,-
22-04-2021,2,mendacious,(adj) dishonest,deceitful,-,The judge ruled out the testimony as it was mendacious,-
22-04-2021,2,cataclysm,(n) violent disruption that causes destruction and change,catestrophe,-,The Chernobyl Incident was a cataclysm whose effects are still visible today,-
22-04-2021,2,juxtapose,(v) place side by side for contrasting effects,-,-,The black and white photos were juxtaposed with the coloured ones to delineate the evolution of photography,-
22-04-2021,2,foment,(v) to arouse or stir up,instigate,provoke,The celebrity accused media of fomenting hatred against her in the public,-
22-04-2021,2,carping,(v) to find fault; complain,grumble,-,Despite the carping of the critics the young players played well in the match,-
22-04-2021,2,sordid,(adj) corrupt; dirty,contemptible,filthy,Rajiv Gandhi Murder Scandal was one of the most sordid affairs in the Indian history,-
22-04-2021,2,demographic,(adj) relating to population basics,-,-,Demographic trends suggest that India will the young powered country in the future,-
