,correct,incorrect
0,obviate,purported
1,grandiloquent,perpetrate
2,salutary,proscribe
3,naysayer,
4,interoperable,
5,yoke,
6,stultify,
7,foliage,
8,taxonomy,
9,syllogism,
10,nugatory,
11,rejig,
12,miscellany,
13,chide,
14,prate,
15,supercilious,
16,unpropitious,
17,minatory,
18,anechoic,
19,divest,
20,compunction,
21,rebut,
22,epoch,
23,embroil,
24,egalitarian,
25,grouse,
26,plaintive,
27,paean,
28,obscurity,
29,promiscuous,
30,brouhaha,
31,grotesque,
32,cursory,
33,wary,
34,poseur,
35,finesse,
36,insidious,
37,strident,
38,assent,
39,minion,
40,precarious,
41,visage,
42,saturated,
43,capricious,
44,despot,
45,piety,
46,placate,
47,captious,
48,sardonic,
49,screed,
50,pedantic,
51,sidereal,
52,semblance,
53,guise,
54,stentorian,
55,doctrinaire,
56,concave,
57,exude,
58,rampant,
59,rhapsody,
60,fidelity,
61,cede,
62,marshal,
63,pallid,
64,subside,
65,serf,
66,sui-generis,
67,disinterested,
68,strut,
69,courtesan,
70,tangential,
71,tautology,
72,sombre,
73,contingency,
74,irresolute,
75,mordant,
76,dogmatic,
77,artifact/ artefact,
78,levity,
79,bigoted,
80,latent,
81,raiment,
82,filibuster,
83,harrowing,
84,littoral,
85,fissure,
86,undulating,
87,overarching,
88,annals,
89,interdict,
90,jocose,
91,subpoena,
92,vitiate,
93,contemplative,
94,paleontology,
95,juggernaut,
96,jaundiced,
97,surreptitiously,
98,minuscule,
99,profane,
100,unfeigned,
101,divulge,
102,disjointed,
103,virtuoso,
104,oligarchy,
105,endemic,
106,extemporaneous,
107,heterodox,
108,comorbidity,
109,virulence,
110,epigram,
111,stricture,
112,simile,
113,contrive,
114,anthopology,
115,eclectic,
116,savor,
117,precept,
118,untoward,
119,enervate,
120,ex post facto,
121,sinuous,
122,formulaic,
123,document,
124,disingenuous,
125,remission,
126,mien,
127,junta,
128,borne,
129,prognosis,
130,purblind,
131,fledgling,
132,prattle,
133,piquant,
134,mettlesome,
135,acquit,
136,misnomer,
137,concoct,
138,stanch,
139,personage,
140,rebus,
141,saturnine,
142,vindictive,
143,abscission,
144,moribund,
145,preamble,
146,nostalgia,
147,viscous,
148,truculence,
149,panegyric,
150,enunciate,
151,transgression,
152,faltering,
153,bevy,
154,impertinent,
155,alchemy,
156,virtue,
157,sate,
158,provident,
159,entomology,
160,reconciliation,
161,fresco,
162,obfuscate,
163,sinecure,
164,jibe,
165,sextant,
166,guileless,
167,carnal,
168,viable,
169,polemic,
170,meticulous,
171,turbid,
172,opus,
173,satyr,
174,propriety,
175,herbivorous,
176,artless,
177,discrete,
178,sartorial,
179,beget,
180,bemused,
181,stigma,
182,conciliatory,
183,hieroglyphics,
184,putative,
185,placid,
186,skeptic/ sceptic,
187,extrapolation,
188,doggerel,
189,cerebration,
190,jeopardise,
191,avant-garde,
192,abscond,
193,translucent,
194,inveigh,
195,factotem,
196,lethargic,
197,hermetic,
198,vexation,
199,simian,
200,carte-blanche,
201,arcane,
202,ethereal,
203,protege,
204,extant,
205,transcendence,
206,vassal,
207,flag,
208,nostrum,
209,prodigy,
210,obsequy,
211,untenable,
212,militate,
213,misanthrope,
214,frieze,
215,ken,
216,sylvan,
217,phoenix,
218,fatuous,
219,occult,
220,transient,
221,vituperate,
222,travail,
223,levee,
224,salacious,
225,rationale,
226,liberal,
227,perpetuate,
228,dismay,
229,status quo,
230,herald,
231,valiant,
232,sanction,
233,ravage,
234,extraneous,
235,talisman,
236,stint,
237,cardinal,
238,tryst,
239,obdurate,
240,stark,
241,puissant,
242,terrestrial,
243,engender,
244,precipitate,
245,lacklusture,
246,exuberant,
247,intangible,
248,cantankerous,
249,dire,
250,quintessential,
251,enhance,
252,occlude,
253,precursor,
254,itinerant,
255,nuance,
256,porous,
257,uncanny,
258,fraught,
259,shard,
260,astigmatism,
261,Stygian,
262,discretion,
263,arrest,
264,subliminal,
265,tacit,
266,condescending,
267,lassitude,
268,pique,
269,ensconce,
270,subsistence,
271,pre-empt,
272,discrepancy,
273,abstemious,
274,extripate,
275,minutia,
276,fiat,
277,punctilious,
278,microcosm,
279,obsequious,
280,usurp,
281,rivulet,
282,incredulous,
283,itinerary,
284,concomitant,
285,dissentious,
286,tutelary,
287,levy,
288,despotism,
289,singular,
290,physiognomy,
291,bereft,
292,internecine,
293,tumid,
294,interpolate,
295,trenchant,
296,stupefy,
